Year,Month,GMSL
1912,8,-118.6
1912,9,-119.1
1912,10,-118.7
1912,11,-116.7
1912,12,-114.4
1913,1,-119.8
1913,2,-123.2
1913,3,-128.2
1913,4,-127.7
1913,5,-126
1913,6,-120.7
1913,7,-117.2
1913,8,-114.3
1913,9,-114
1913,10,-114.8
1913,11,-110.8
1913,12,-116
1914,1,-110.9
1914,2,-117
1914,3,-115.3
1914,4,-118.1
1914,5,-116.8
1914,6,-119.9
1914,7,-119.7
1914,8,-122.5
1914,9,-117
1914,10,-111.8
1914,11,-99
1914,12,-88.6
1915,1,-83.7
1915,2,-85.2
1915,3,-93.1
1915,4,-102.3
1915,5,-108.5
1915,6,-111.1
1915,7,-113.6
1915,8,-114.4
1915,9,-115.4
1915,10,-115.2
1915,11,-109.7
1915,12,-110
1916,1,-103.7
1916,2,-106.3
1916,3,-101.1
1916,4,-104.1
1916,5,-102.8
1916,6,-108
1916,7,-111.7
1916,8,-115.9
1916,9,-113.6
1916,10,-111.7
1916,11,-103.8
1916,12,-102.7
1917,1,-102.8
1917,2,-109.1
1917,3,-112.4
1917,4,-115.9
1917,5,-115.1
1917,6,-113.9
1917,7,-110.1
1917,8,-110.7
1917,9,-111.5
1917,10,-113.1
1917,11,-113.7
1917,12,-111.3
1918,1,-109.7
1918,2,-113.5
1918,3,-115.2
1918,4,-117.1
1918,5,-114.6
1918,6,-112.7
1918,7,-112.1
1918,8,-113.6
1918,9,-109.9
1918,10,-112
1918,11,-111.8
1918,12,-116.4
1919,1,-118.1
1919,2,-119.9
1919,3,-118.3
1919,4,-115.4
1919,5,-112.7
1919,6,-106.2
1919,7,-107
1919,8,-103.5
1919,9,-105.2
1919,10,-108.5
1919,11,-109.9
1919,12,-114.4
1920,1,-114.9
1920,2,-116.9
1920,3,-116.2
1920,4,-112.1
1920,5,-107.4
1920,6,-103.6
1920,7,-103.2
1920,8,-106
1920,9,-109.6
1920,10,-110.8
1920,11,-112.2
1920,12,-110.1
1921,1,-110
1921,2,-106.9
1921,3,-105.5
1921,4,-104.1
1921,5,-102.1
1921,6,-103.5
1921,7,-105.1
1921,8,-111.3
1921,9,-114.2
1921,10,-113.1
1921,11,-113.6
1921,12,-109.4
1922,1,-111
1922,2,-106.7
1922,3,-108
1922,4,-107
1922,5,-105.9
1922,6,-106.2
1922,7,-111.3
1922,8,-114.7
1922,9,-116.4
1922,10,-112.5
1922,11,-106.6
1922,12,-103.2
1923,1,-104.6
1923,2,-109.2
1923,3,-107.9
1923,4,-103.6
1923,5,-99.3
1923,6,-101.9
1923,7,-107.5
1923,8,-110.5
1923,9,-110.5
1923,10,-109.7
1923,11,-113.9
1923,12,-116.7
1924,1,-118
1924,2,-112.7
1924,3,-113.4
1924,4,-111.8
1924,5,-115.2
1924,6,-115.3
1924,7,-116.8
1924,8,-116.1
1924,9,-115.6
1924,10,-115.7
1924,11,-117
1924,12,-115.2
1925,1,-112.3
1925,2,-110.6
1925,3,-112.5
1925,4,-115.3
1925,5,-114.8
1925,6,-115
1925,7,-115.3
1925,8,-116.3
1925,9,-115
1925,10,-112.9
1925,11,-110.9
1925,12,-107.4
1926,1,-111.3
1926,2,-112.2
1926,3,-115.4
1926,4,-112.3
1926,5,-110.3
1926,6,-107.7
1926,7,-104.5
1926,8,-97.9
1926,9,-97.2
1926,10,-96.3
1926,11,-105.8
1926,12,-109.4
1927,1,-113.4
1927,2,-109.1
1927,3,-107.2
1927,4,-104.9
1927,5,-105.3
1927,6,-104.5
1927,7,-106.3
1927,8,-103.7
1927,9,-109.6
1927,10,-106.9
1927,11,-110.7
1927,12,-111.5
1928,1,-117.7
1928,2,-117.6
1928,3,-115.7
1928,4,-110.4
1928,5,-108.9
1928,6,-106.3
1928,7,-106
1928,8,-105.6
1928,9,-106.1
1928,10,-111.2
1928,11,-115.6
1928,12,-118.7
1929,1,-120.8
1929,2,-115.8
1929,3,-113.3
1929,4,-107.4
1929,5,-109.9
1929,6,-106.1
1929,7,-106
1929,8,-106.4
1929,9,-107
1929,10,-109.4
1929,11,-109.2
1929,12,-112.1
1930,1,-110.8
1930,2,-112.3
1930,3,-112.3
1930,4,-114.3
1930,5,-112.7
1930,6,-105.7
1930,7,-98.2
1930,8,-96.1
1930,9,-98.5
1930,10,-101.5
1930,11,-105.6
1930,12,-107.8
1931,1,-106.9
1931,2,-109.1
1931,3,-106.6
1931,4,-108.5
1931,5,-106.4
1931,6,-105.9
1931,7,-101.9
1931,8,-103.7
1931,9,-106
1931,10,-109
1931,11,-109.9
1931,12,-106.5
1932,1,-104.1
1932,2,-100.8
1932,3,-101.8
1932,4,-100.5
1932,5,-102.2
1932,6,-102.3
1932,7,-101.5
1932,8,-102.9
1932,9,-100.3
1932,10,-100.7
1932,11,-98.2
1932,12,-97.1
1933,1,-93.8
1933,2,-93
1933,3,-92.4
1933,4,-92.6
1933,5,-95.2
1933,6,-94.5
1933,7,-99
1933,8,-97.7
1933,9,-99
1933,10,-98.7
1933,11,-102.2
1933,12,-102.2
1934,1,-101.5
1934,2,-99.1
1934,3,-96.7
1934,4,-97.8
1934,5,-98.7
1934,6,-102.7
1934,7,-103.3
1934,8,-107.3
1934,9,-105.8
1934,10,-108.5
1934,11,-102.6
1934,12,-100.5
1935,1,-95.5
1935,2,-93.3
1935,3,-92.9
1935,4,-91.7
1935,5,-95
1935,6,-94.3
1935,7,-95.3
1935,8,-96.1
1935,9,-98.4
1935,10,-101.3
1935,11,-102.8
1935,12,-101
1936,1,-97.1
1936,2,-94.7
1936,3,-99.2
1936,4,-102.5
1936,5,-104.4
1936,6,-101.9
1936,7,-102.9
1936,8,-100.9
1936,9,-103.6
1936,10,-99.3
1936,11,-100.6
1936,12,-97.6
1937,1,-98.9
1937,2,-93.9
1937,3,-95.5
1937,4,-93.5
1937,5,-94.9
1937,6,-96.9
1937,7,-96.6
1937,8,-97.4
1937,9,-93.9
1937,10,-93.4
1937,11,-91.5
1937,12,-89.9
1938,1,-87.7
1938,2,-86.4
1938,3,-85.9
1938,4,-88
1938,5,-93.7
1938,6,-96.8
1938,7,-101.3
1938,8,-97.8
1938,9,-96.1
1938,10,-90.7
1938,11,-89.9
1938,12,-90.6
1939,1,-90
1939,2,-94.4
1939,3,-91.8
1939,4,-89.7
1939,5,-84.4
1939,6,-77.7
1939,7,-77.6
1939,8,-80.4
1939,9,-86.9
1939,10,-91
1939,11,-89.4
1939,12,-89.2
1940,1,-88.3
1940,2,-89.5
1940,3,-91.2
1940,4,-95.9
1940,5,-96.6
1940,6,-101
1940,7,-99.1
1940,8,-96.2
1940,9,-92.2
1940,10,-87.9
1940,11,-84.7
1940,12,-83.7
1941,1,-84.4
1941,2,-81.2
1941,3,-80.8
1941,4,-79.4
1941,5,-81.3
1941,6,-81.3
1941,7,-78.3
1941,8,-73.9
1941,9,-74.4
1941,10,-77.8
1941,11,-83.5
1941,12,-83.6
1942,1,-85.2
1942,2,-84.2
1942,3,-85.5
1942,4,-86
1942,5,-84.8
1942,6,-81.8
1942,7,-78.4
1942,8,-75.4
1942,9,-73.5
1942,10,-74.4
1942,11,-74.5
1942,12,-76.9
1943,1,-74.4
1943,2,-73.6
1943,3,-74.1
1943,4,-74.3
1943,5,-78.4
1943,6,-78.2
1943,7,-82.3
1943,8,-82.8
1943,9,-84.2
1943,10,-84.9
1943,11,-86.1
1943,12,-86.7
1944,1,-83.2
1944,2,-77.1
1944,3,-74.4
1944,4,-79
1944,5,-86.3
1944,6,-92.1
1944,7,-94.9
1944,8,-95.1
1944,9,-93.2
1944,10,-90.2
1944,11,-86.5
1944,12,-85.3
1945,1,-84.3
1945,2,-84.6
1945,3,-85.4
1945,4,-84.1
1945,5,-82.8
1945,6,-78.8
1945,7,-82.8
1945,8,-83
1945,9,-87.3
1945,10,-84.8
1945,11,-84.5
1945,12,-81.2
1946,1,-82.3
1946,2,-78.4
1946,3,-79.2
1946,4,-75.3
1946,5,-72.8
1946,6,-69.8
1946,7,-68.5
1946,8,-71
1946,9,-74.9
1946,10,-78.4
1946,11,-81
1946,12,-81.7
1947,1,-82.3
1947,2,-80.1
1947,3,-77.5
1947,4,-79.8
1947,5,-79.2
1947,6,-77.2
1947,7,-74.5
1947,8,-71.9
1947,9,-68.5
1947,10,-64
1947,11,-59.3
1947,12,-61
1948,1,-63.9
1948,2,-68.4
1948,3,-70.5
1948,4,-70.5
1948,5,-69.2
1948,6,-69.3
1948,7,-67.7
1948,8,-69.7
1948,9,-68.3
1948,10,-68.7
1948,11,-66.8
1948,12,-65.6
1949,1,-64
1949,2,-63.6
1949,3,-67.2
1949,4,-69.8
1949,5,-71.9
1949,6,-72.2
1949,7,-73.3
1949,8,-72
1949,9,-73.4
1949,10,-69.7
1949,11,-69.2
1949,12,-67.7
1950,1,-69.6
1950,2,-70.8
1950,3,-70.9
1950,4,-68.8
1950,5,-68.3
1950,6,-67.9
1950,7,-68.5
1950,8,-69.2
1950,9,-67.5
1950,10,-64.7
1950,11,-61.9
1950,12,-59.5
1951,1,-60.9
1951,2,-56.9
1951,3,-51.6
1951,4,-51
1951,5,-50.7
1951,6,-55.8
1951,7,-59.4
1951,8,-63
1951,9,-61.7
1951,10,-61.6
1951,11,-59.8
1951,12,-61.6
1952,1,-62.2
1952,2,-62.7
1952,3,-64.4
1952,4,-64.2
1952,5,-63.6
1952,6,-61.1
1952,7,-62.2
1952,8,-61.4
1952,9,-59.1
1952,10,-57.8
1952,11,-53.2
1952,12,-52.7
1953,1,-53.1
1953,2,-56
1953,3,-57.8
1953,4,-55.8
1953,5,-52.5
1953,6,-49.9
1953,7,-52.4
1953,8,-55
1953,9,-57.6
1953,10,-59.8
1953,11,-60.5
1953,12,-61.2
1954,1,-59
1954,2,-57.6
1954,3,-56.9
1954,4,-59.2
1954,5,-58.9
1954,6,-61.8
1954,7,-64.4
1954,8,-65.2
1954,9,-62.9
1954,10,-58
1954,11,-52.8
1954,12,-50.5
1955,1,-48.8
1955,2,-49.1
1955,3,-52.4
1955,4,-56.5
1955,5,-61.2
1955,6,-64.2
1955,7,-66.3
1955,8,-63.1
1955,9,-62
1955,10,-57.5
1955,11,-57
1955,12,-57.6
1956,1,-58.6
1956,2,-62.2
1956,3,-61.4
1956,4,-58.5
1956,5,-58.5
1956,6,-60
1956,7,-64.9
1956,8,-66.1
1956,9,-66.8
1956,10,-67.2
1956,11,-67.3
1956,12,-65.9
1957,1,-61.3
1957,2,-53.1
1957,3,-48.9
1957,4,-47.2
1957,5,-45.5
1957,6,-45.4
1957,7,-45.7
1957,8,-48.8
1957,9,-49.6
1957,10,-50.7
1957,11,-49.5
1957,12,-50.5
1958,1,-48.5
1958,2,-49
1958,3,-48.9
1958,4,-51.4
1958,5,-50.9
1958,6,-51
1958,7,-49.8
1958,8,-49.2
1958,9,-47.9
1958,10,-45.6
1958,11,-44.2
1958,12,-43.3
1959,1,-45.4
1959,2,-48.7
1959,3,-50.8
1959,4,-50.1
1959,5,-49.7
1959,6,-48.3
1959,7,-48
1959,8,-45.6
1959,9,-46.6
1959,10,-45
1959,11,-49.4
1959,12,-48.6
1960,1,-48.9
1960,2,-44.9
1960,3,-45.1
1960,4,-43.1
1960,5,-42.5
1960,6,-42.9
1960,7,-44.1
1960,8,-44.9
1960,9,-45.4
1960,10,-44.7
1960,11,-43.9
1960,12,-40.8
1961,1,-38
1961,2,-33.2
1961,3,-32.8
1961,4,-32.4
1961,5,-34.8
1961,6,-36.9
1961,7,-37.8
1961,8,-38.8
1961,9,-40
1961,10,-43.1
1961,11,-45.1
1961,12,-44.2
1962,1,-44.3
1962,2,-42.8
1962,3,-44.1
1962,4,-44.6
1962,5,-45.4
1962,6,-45.1
1962,7,-46.6
1962,8,-43.7
1962,9,-42.3
1962,10,-39.1
1962,11,-40.1
1962,12,-41.7
1963,1,-40.5
1963,2,-40.7
1963,3,-40.8
1963,4,-42.8
1963,5,-44.2
1963,6,-45.7
1963,7,-47
1963,8,-48.3
1963,9,-45.9
1963,10,-47.1
1963,11,-45.3
1963,12,-50.8
1964,1,-55
1964,2,-59.3
1964,3,-60.2
1964,4,-60.7
1964,5,-56.2
1964,6,-50.8
1964,7,-46.8
1964,8,-46.6
1964,9,-48.5
1964,10,-51.3
1964,11,-50.8
1964,12,-47.7
1965,1,-43.3
1965,2,-38.8
1965,3,-40.8
1965,4,-44
1965,5,-47.6
1965,6,-46.7
1965,7,-43.5
1965,8,-40
1965,9,-36.6
1965,10,-38.2
1965,11,-38.7
1965,12,-40.3
1966,1,-40.9
1966,2,-42.9
1966,3,-45.4
1966,4,-47.5
1966,5,-48.6
1966,6,-48.9
1966,7,-47.1
1966,8,-46.7
1966,9,-46.7
1966,10,-48.1
1966,11,-51.5
1966,12,-49.3
1967,1,-50.5
1967,2,-50.2
1967,3,-52.5
1967,4,-50.9
1967,5,-49.4
1967,6,-44.6
1967,7,-44
1967,8,-42
1967,9,-41.7
1967,10,-41
1967,11,-40.4
1967,12,-40.1
1968,1,-39.6
1968,2,-42
1968,3,-48
1968,4,-53
1968,5,-56.7
1968,6,-55.3
1968,7,-50.9
1968,8,-43.5
1968,9,-39.6
1968,10,-36
1968,11,-35.7
1968,12,-37.4
1969,1,-35.8
1969,2,-37.2
1969,3,-36.2
1969,4,-37.4
1969,5,-38.6
1969,6,-39.1
1969,7,-41.1
1969,8,-38.9
1969,9,-37.9
1969,10,-36.5
1969,11,-37.9
1969,12,-39.4
1970,1,-38.8
1970,2,-37.6
1970,3,-38.2
1970,4,-41.1
1970,5,-41.3
1970,6,-41
1970,7,-42.6
1970,8,-41.9
1970,9,-42.4
1970,10,-38.7
1970,11,-38.6
1970,12,-37.1
1971,1,-34.9
1971,2,-31.7
1971,3,-30.7
1971,4,-31.4
1971,5,-35.2
1971,6,-37.7
1971,7,-38.5
1971,8,-36.5
1971,9,-33.1
1971,10,-33.5
1971,11,-35.9
1971,12,-37.6
1972,1,-34
1972,2,-29.2
1972,3,-25.3
1972,4,-24.6
1972,5,-22.6
1972,6,-20.2
1972,7,-19.1
1972,8,-23.1
1972,9,-25.7
1972,10,-27.9
1972,11,-26.9
1972,12,-28.5
1973,1,-33.2
1973,2,-33.6
1973,3,-34.6
1973,4,-31.7
1973,5,-33.8
1973,6,-32.7
1973,7,-34.4
1973,8,-34.4
1973,9,-34.5
1973,10,-31.6
1973,11,-24.7
1973,12,-19.9
1974,1,-15.4
1974,2,-16.5
1974,3,-17.6
1974,4,-17.4
1974,5,-17.7
1974,6,-18.3
1974,7,-20.4
1974,8,-22.1
1974,9,-23
1974,10,-23.8
1974,11,-22.6
1974,12,-21.8
1975,1,-21.1
1975,2,-20.2
1975,3,-18.7
1975,4,-20
1975,5,-21.3
1975,6,-23.4
1975,7,-23.4
1975,8,-22
1975,9,-21.3
1975,10,-20.7
1975,11,-20.5
1975,12,-22.7
1976,1,-22.9
1976,2,-25.7
1976,3,-24.4
1976,4,-23.2
1976,5,-22.5
1976,6,-20.4
1976,7,-21.6
